Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-02-01,tcs,3780,3809,3735.6,3800.65,142772
2022-01-31,tcs,3742.2,3758.05,3721.7,3737.9,140447
2022-01-28,tcs,3659,3729,3650,3690.25,213927
2022-01-27,tcs,3740,3740,3626.25,3650.1,408154
2022-01-25,tcs,3771,3809.2,3723.05,3770.1,229135
2022-01-24,tcs,3841,3850.15,3741,3771.5,288622
2022-01-21,tcs,3814,3851,3771.75,3834.85,231443
2022-01-20,tcs,3915,3915,3814,3827.85,289388
2022-01-19,tcs,4018,4018,3911.75,3915.8,138761
2022-01-18,tcs,4045.5,4045.5,3981,3990.25,110328
2022-01-17,tcs,3998,4043,3963,4019.1,295249
2022-01-14,tcs,3880,3978.3,3860.1,3969.25,280512
2022-01-13,tcs,3934,3944.4,3857.25,3897.65,368315
2022-01-12,tcs,3927.8,3930.15,3836.8,3857.25,122701
2022-01-11,tcs,3859,3925.85,3853.8,3915.8,80161
2022-01-10,tcs,3974,3979.9,3861.85,3879.35,244605
2022-01-07,tcs,3809.1,3864.45,3796,3854.85,41904
2022-01-06,tcs,3816,3834.75,3771.35,3806.85,111898
2022-01-05,tcs,3865,3870.1,3811,3861.05,54550
2022-01-04,tcs,3829.05,3888,3810,3882.7,342652
2022-01-03,tcs,3744,3829,3743.95,3818.15,67010
