Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-08-02,infy,1549,1549,1528.65,1542.9,77041
2022-08-01,infy,1570,1570,1537.7,1550.6,4624163
2022-07-29,infy,1531,1555,1528,1549.6,372147
2022-07-28,infy,1491,1523.8,1489.65,1517.45,496273
2022-07-27,infy,1451,1472.8,1444.55,1471.2,316526
2022-07-26,infy,1501.4,1501.4,1445.2,1451.8,411822
2022-07-25,infy,1478.35,1516.95,1478.35,1502.85,271825
2022-07-22,infy,1530.2,1539.8,1492.8,1506.3,235933
2022-07-21,infy,1520,1535,1503,1532.85,135852
2022-07-20,infy,1501.95,1525,1499.05,1514.95,329440
2022-07-19,infy,1475,1486.55,1470.55,1484.9,259370
2022-07-18,infy,1447.25,1492.9,1447.25,1490.05,4992077
2022-07-15,infy,1440.05,1443.5,1410.9,1430.5,227996
2022-07-14,infy,1451.8,1453.2,1413.9,1429.1,282798
2022-07-13,infy,1449,1460.1,1438.6,1444.95,156442
2022-07-12,infy,1467.9,1468.6,1436,1438.5,190479
2022-07-11,infy,1507,1507,1467,1472.8,249390
2022-07-08,infy,1515,1516.2,1499.95,1514,215034
2022-07-07,infy,1498.95,1514,1495.5,1498.75,256360
2022-07-06,infy,1482,1500,1470.1,1491.95,284538
2022-07-05,infy,1497,1509.9,1472.1,1476.35,195891
2022-07-04,infy,1482,1492.05,1461.8,1487.75,120316
2022-07-01,infy,1453.7,1484.7,1442.25,1478.05,107464
2022-06-30,infy,1462.95,1481.9,1455.15,1461.2,400032
2022-06-29,infy,1466.7,1477.2,1457.9,1463.7,258252
2022-06-28,infy,1459.4,1485.9,1453,1480.25,65629
2022-06-27,infy,1470,1484.1,1465.3,1474.55,220528
2022-06-24,infy,1459.95,1469,1428.8,1442.05,208215
2022-06-23,infy,1439.8,1458.75,1433.85,1453.2,305346
2022-06-22,infy,1435,1459.3,1435,1437.35,243450
2022-06-21,infy,1420,1455.55,1420,1450,372219
2022-06-20,infy,1389,1423,1382.1,1414.75,271497
2022-06-17,infy,1394.95,1397.05,1367.2,1387.65,299853
2022-06-16,infy,1440,1444.8,1392.15,1397.15,372499
2022-06-15,infy,1440,1446.25,1418.45,1421.65,201434
2022-06-14,infy,1407.05,1448.95,1404,1440.25,342024
2022-06-13,infy,1444,1445,1412.3,1424.2,450915
2022-06-10,infy,1485,1492.65,1474.1,1477.15,375471
2022-06-09,infy,1487.8,1517,1482,1514.6,283441
2022-06-08,infy,1523,1523,1492.3,1499.95,189312
2022-06-07,infy,1518,1519,1503,1507.25,239963
2022-06-06,infy,1521,1536.6,1493.05,1530.35,208431
2022-06-03,infy,1524.9,1555.05,1518.5,1522,253715
2022-06-02,infy,1485.55,1513.8,1475.6,1507.9,378526
2022-06-01,infy,1505.15,1514,1471.6,1478.9,435128
2022-05-31,infy,1513,1517.5,1488.7,1503.95,370875
2022-05-30,infy,1490.1,1530,1486.8,1527.55,393178
2022-05-27,infy,1450,1467,1437.3,1460.85,478492
2022-05-26,infy,1410,1430,1407,1423.8,602222
2022-05-25,infy,1434,1442.85,1399.5,1411.45,512060
2022-05-24,infy,1470,1470,1435.3,1441.2,342935
2022-05-23,infy,1458.5,1487.85,1450.05,1468.7,247852
2022-05-20,infy,1452,1466.9,1447,1455.5,438612
2022-05-19,infy,1480,1481,1417.7,1427.2,923880
2022-05-18,infy,1524,1549.8,1505.2,1509.7,201642
2022-05-17,infy,1494.8,1524.8,1480.25,1518.65,512886
2022-05-16,infy,1506.15,1512.75,1478.65,1489.25,152285
2022-05-13,infy,1520,1529,1498.3,1503.35,277270
2022-05-12,infy,1515,1527.2,1504.9,1509.25,359063
2022-05-11,infy,1553,1553,1511.55,1527.2,419339
2022-05-10,infy,1561,1569.95,1546.25,1553.6,272693
2022-05-09,infy,1530.4,1586.4,1522.4,1570.2,428275
2022-05-06,infy,1543,1556.55,1535.1,1543.45,329628
2022-05-05,infy,1558.45,1589.25,1557.55,1585.25,316159
2022-05-04,infy,1545,1569.95,1530.5,1535.95,3945408
2022-05-02,infy,1551,1552.25,1530.6,1541.25,443393
2022-04-29,infy,1591.65,1597.4,1561.1,1567.9,213470
2022-04-28,infy,1567.7,1601.4,1557.9,1583.3,325991
2022-04-27,infy,1579.4,1579.4,1550.5,1553.2,149612
2022-04-26,infy,1574.2,1592,1567,1579.75,344815
2022-04-25,infy,1575.7,1575.7,1554.1,1561.45,450340
2022-04-22,infy,1617,1617,1583,1585.7,226730
2022-04-21,infy,1595.05,1626.6,1589.2,1618.5,338163
2022-04-20,infy,1575,1596,1563.15,1587.85,590406
2022-04-19,infy,1644,1644,1550.4,1563.95,982805
2022-04-18,infy,1608,1650.9,1592.05,1621.45,1544805
