Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-11-02,tatasteel,100.9,102.9,100.8,101.2,4184733
2022-11-01,tatasteel,98.15,101.45,98.15,101.2,6014204
2022-10-31,tatasteel,101.7,102.15,100.3,101.55,1897296
2022-10-28,tatasteel,104.05,104.5,100.8,101.55,3814661
2022-10-27,tatasteel,102.05,104.65,102.05,104.2,3699848
2022-10-25,tatasteel,101,102.5,100.65,101.15,3108326
2022-10-24,tatasteel,102,102,101,101.2,496638
2022-10-21,tatasteel,100.65,101.45,99.35,100.15,2488930
2022-10-20,tatasteel,99.5,101.1,98.8,100.9,3573785
2022-10-19,tatasteel,100.6,101.2,99.7,100.05,2331137
2022-10-18,tatasteel,100.1,101,99.8,100.6,2827302
2022-10-17,tatasteel,99.85,100.4,98.1,99.55,12754082
2022-10-14,tatasteel,101.6,102.7,99.85,100.1,3020846
2022-10-13,tatasteel,100.7,101.8,98.85,100.1,3107555
2022-10-12,tatasteel,100.5,101.15,99,100.55,2423376
2022-10-11,tatasteel,103.3,103.5,99.9,100.3,12749057
2022-10-10,tatasteel,102,103.9,101.2,103.25,1748242
2022-10-07,tatasteel,103.35,103.45,101.85,103.2,1716013
2022-10-06,tatasteel,102,103.8,101.75,103.45,4893642
2022-10-04,tatasteel,99.6,101.5,99.6,101.15,1919491
2022-10-03,tatasteel,99.4,99.6,98,98.3,3479333
2022-09-30,tatasteel,96.7,100.4,95.7,99.3,5196062
2022-09-29,tatasteel,96.9,98.3,96.4,96.85,4897702
2022-09-28,tatasteel,96.65,97.85,95,95.25,3254693
2022-09-27,tatasteel,101.1,101.3,96.55,97.6,8194478
2022-09-26,tatasteel,104.5,104.5,98.5,99.85,5309642
2022-09-23,tatasteel,106.2,107.9,103.75,104.25,7815307
2022-09-22,tatasteel,104.5,105.3,103.5,103.65,4167273
2022-09-21,tatasteel,105.85,107.2,104.3,104.5,4045221
2022-09-20,tatasteel,104.25,106.35,104,105.85,4415941
2022-09-19,tatasteel,106.05,106.25,103,103.15,10985828
2022-09-16,tatasteel,106.35,107.55,105,105.8,4808283
2022-09-15,tatasteel,109,109,106.5,107,2776687
2022-09-14,tatasteel,106.1,110.4,105.8,109.1,8346563
2022-09-13,tatasteel,107.7,108.65,107.55,107.75,2080612
2022-09-12,tatasteel,106.7,107.9,106.45,107.7,5496065
2022-09-09,tatasteel,106.8,107.35,105.55,105.75,4350354
2022-09-08,tatasteel,108.15,108.5,105.3,105.85,4463250
2022-09-07,tatasteel,107.3,108.8,107.1,107.6,2104970
2022-09-06,tatasteel,107.15,108.75,106.05,108.55,6000201
2022-09-05,tatasteel,105.9,107.25,105.9,106.9,4969281
2022-09-02,tatasteel,106.9,107.05,105,105.55,4160902
2022-09-01,tatasteel,107.2,107.8,105.85,106.45,4250740
2022-08-30,tatasteel,106.3,108.45,106,108.3,5754654
2022-08-29,tatasteel,101.2,105.65,101.2,104.85,5943071
2022-08-26,tatasteel,107.3,109.2,107.1,107.4,2408297
2022-08-25,tatasteel,106.85,107.85,105.8,106.2,3978457
2022-08-24,tatasteel,107.85,108.2,105.8,106.55,3396443
2022-08-23,tatasteel,104.2,108.25,103.45,107.55,7046063
2022-08-22,tatasteel,109.7,109.7,104.7,105.05,4276721
2022-08-19,tatasteel,112.8,112.8,109.5,110,5041359
2022-08-18,tatasteel,112.5,113,111.35,112.55,3917906
2022-08-17,tatasteel,113.7,113.7,112.25,112.5,4520838
2022-08-16,tatasteel,113.7,113.8,111.05,113,5462751
2022-08-12,tatasteel,109.2,112.9,108.7,112.65,9455716
2022-08-11,tatasteel,110.1,110.65,108.6,109.1,5233551
2022-08-10,tatasteel,107.9,109.9,106.45,109.25,4002923
2022-08-08,tatasteel,107.5,108.2,106.7,107.2,3616970
2022-08-05,tatasteel,107.85,109.25,107.05,107.35,5034443
2022-08-04,tatasteel,108.15,109.5,106.05,107.7,4298457
2022-08-03,tatasteel,106.85,108.5,106,107,3280717
2022-08-02,tatasteel,108.2,108.2,105.3,106.95,3719535
2022-08-01,tatasteel,110.1,111.45,106.1,108.25,12783082
2022-07-29,tatasteel,103,109.3,102.1,107.65,11659958
2022-07-28,tatasteel,98,102.05,97.4,100.35,8730002
2022-07-27,tatasteel,949.05,961.55,943.6,959.45,269487
2022-07-26,tatasteel,969,974,945.9,949.45,727859
2022-07-25,tatasteel,936,966.15,933.55,960.9,425825
2022-07-22,tatasteel,940,944,932.05,936,337543
2022-07-21,tatasteel,930,939,924.65,934.5,217970
2022-07-20,tatasteel,934.25,937.75,925,928.2,275649
2022-07-19,tatasteel,904.1,922,901,919.25,573149
2022-07-18,tatasteel,894.95,907.85,892.25,904.3,1265850
2022-07-15,tatasteel,902.5,910.2,877.5,883.6,580076
2022-07-14,tatasteel,905.05,910.9,895,908.1,298400
2022-07-13,tatasteel,904,914,901,904.5,499286
2022-07-12,tatasteel,909,915.95,893.8,902.1,448623
2022-07-11,tatasteel,888.8,928.5,876.05,912.7,634460
2022-07-08,tatasteel,919,919,880.5,885.75,708772
2022-07-07,tatasteel,865,906,858,900.3,822127
2022-07-06,tatasteel,860.3,861,838.3,858.4,576147
2022-07-05,tatasteel,862.05,879,858.05,860.3,497137
2022-07-04,tatasteel,870,871.1,844,854.55,482064
2022-07-01,tatasteel,872,875.25,859.35,873.3,274943
2022-06-30,tatasteel,884,894.55,864.25,866.95,238321
2022-06-29,tatasteel,872,888.6,865,881.45,401386
2022-06-28,tatasteel,868.7,884.2,860.6,879.4,326517
