Date,Script-name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-10-03,bharti,808.5,815.35,797.2,803.45,232929
2022-09-30,bharti,762.55,808.85,761.5,799.75,262490
2022-09-29,bharti,761.2,768.65,759.55,765.4,354151
2022-09-28,bharti,755,771,755,761.4,270799
2022-09-27,bharti,754,764.7,754,760.6,193907
2022-09-26,bharti,767.05,771.35,753.5,755.2,896784
2022-09-23,bharti,787.2,787.3,768.6,770.95,150233
2022-09-22,bharti,783.35,795,776.4,784.2,168402
2022-09-21,bharti,792.5,797,779.25,780.4,85092
2022-09-20,bharti,783.6,796.6,783.6,790.55,72943
2022-09-19,bharti,774.9,786.15,772.3,782.6,2042903
2022-09-16,bharti,784.85,787.3,776.25,780,85809
2022-09-15,bharti,786.2,790.3,782,784.8,151477
2022-09-14,bharti,768,788.4,768,783.45,216299
2022-09-13,bharti,773,789,770.1,784.6,419712
2022-09-12,bharti,767.2,771.2,765.05,768.9,191829
2022-09-09,bharti,776,776,763.55,765.55,379713
2022-09-08,bharti,760.5,776,757.1,770.2,539738
2022-09-07,bharti,756.5,759.7,736.1,753.05,875712
2022-09-06,bharti,740,792.05,740,761.3,643788
2022-09-05,bharti,735,742,733.6,740.65,200659
2022-09-02,bharti,725.15,740.6,720.05,734.65,436448
2022-09-01,bharti,723.1,745.9,723.1,735.05,1975791
2022-08-30,bharti,720.9,729.7,712,726.5,292063
2022-08-29,bharti,710,724.95,710,720.9,145567
2022-08-26,bharti,743,743,727.9,730.55,104140
2022-08-25,bharti,743.5,768,731.6,738.05,753933
2022-08-24,bharti,728,792.65,721.1,738.9,1103388
2022-08-23,bharti,719.15,742.65,719.15,737.6,94659
2022-08-22,bharti,729,733.85,724.65,727.5,285668
2022-08-19,bharti,733.25,737.65,726.05,732.35,300170
2022-08-18,bharti,725,735.7,721,733.25,201667
2022-08-17,bharti,706,725,702.8,721.75,296418
2022-08-16,bharti,711,715.7,700.7,703.8,183506
2022-08-12,bharti,709.55,712.2,706.65,709.85,170762
2022-08-11,bharti,723.4,723.4,705.85,709.55,461575
2022-08-10,bharti,719,719,706,714.95,330344
2022-08-08,bharti,707,709.75,699.1,704.35,259526
2022-08-05,bharti,700,710,697.2,703.6,118358
2022-08-04,bharti,699,699,681,693.95,211393
2022-08-03,bharti,688.8,696.65,687,692.95,115279
2022-08-02,bharti,699,699.45,681.4,686.6,111350
2022-08-01,bharti,679,697.3,677.85,694.2,3071366
2022-07-29,bharti,673,680.5,671,677.9,135806
2022-07-28,bharti,681,681,664.25,666.8,486945
2022-07-27,bharti,684,684,669.75,674.8,163654
2022-07-26,bharti,681,685.1,670.1,683.8,65233
2022-07-25,bharti,678.5,686.55,676.65,678.15,55109
2022-07-22,bharti,682.5,682.5,675.15,678.5,67432
2022-07-21,bharti,669.65,679.25,669.65,678.6,42016
2022-07-20,bharti,677,678,668.05,670.25,419695
2022-07-19,bharti,673.35,675.8,663.4,672.95,392866
2022-07-18,bharti,660.8,669,649.35,663.5,3086280
2022-07-15,bharti,648.2,657.5,643.5,651.65,511567
2022-07-14,bharti,648.2,652.1,629.05,642,194456
2022-07-13,bharti,685.2,685.2,641.3,643.45,191204
2022-07-12,bharti,663,666.95,660.1,662.45,246101
2022-07-11,bharti,676.8,680.6,659.05,660.3,362839
2022-07-08,bharti,686.15,696.5,686.15,695.25,169887
2022-07-07,bharti,694.95,696.55,685.55,686.65,102775
2022-07-06,bharti,679,694.9,679,693.95,73612
2022-07-05,bharti,682.9,689.1,681,684.3,207226
2022-07-04,bharti,674.25,685.05,666.15,681.9,71201
2022-07-01,bharti,686,686,666.05,673.4,284792
2022-06-30,bharti,691,691.45,679.35,683.9,184651
2022-06-29,bharti,678,689,676.2,687.5,53292
2022-06-28,bharti,679.05,684.95,676.2,681,66971
2022-06-27,bharti,677.65,687,671.15,684.9,171889
2022-06-24,bharti,664.95,675.5,662.95,671.5,136462
2022-06-23,bharti,649.95,664.25,647.65,660.5,64053
2022-06-22,bharti,642.2,650.15,641.3,642.75,143241
2022-06-21,bharti,642,658.15,640.75,653.75,129214
2022-06-20,bharti,642,646.6,634.2,641.5,92075
2022-06-17,bharti,659.7,661.35,638.35,643.85,141041
2022-06-16,bharti,686,686,650.35,653.95,230008
2022-06-15,bharti,682.95,685,673.6,682,214223
2022-06-14,bharti,673.8,689,671,682.15,183878
2022-06-13,bharti,665,673,657.9,671.2,189725
2022-06-10,bharti,672,676.55,664.5,673,113995
2022-06-09,bharti,658,679.95,655.15,676.5,152171
2022-06-08,bharti,685,687.4,660.5,663.2,600555
2022-06-07,bharti,678,687.3,673.25,685.9,173221
2022-06-06,bharti,682.35,689.85,676.6,683.35,147323
2022-06-03,bharti,700.45,700.45,685.2,686.4,58969
2022-06-02,bharti,685,697,683.4,695.9,143399
2022-06-01,bharti,698.15,706,691.3,694.25,579663
2022-05-31,bharti,695,706.3,692.25,701.1,258495
2022-05-30,bharti,689.75,703.75,682.9,699,379481
2022-05-27,bharti,702.05,702.05,676.15,684.75,170183
2022-05-26,bharti,689,695.3,676,693.35,164584
2022-05-25,bharti,677,689.85,677,688.35,174560
2022-05-24,bharti,686.15,688.35,676.15,678.8,53376
2022-05-23,bharti,685,693.75,680,685.7,74307
2022-05-20,bharti,684.15,691.5,683.2,687.7,235744
2022-05-19,bharti,686,692.55,668.2,673.5,137410
2022-05-18,bharti,725.4,727.55,689.05,696.05,613144
2022-05-17,bharti,699.8,710,691,707.55,123491
2022-05-16,bharti,683.15,697.75,679.85,692.8,101582
2022-05-13,bharti,717.9,717.9,685,689.4,359357
2022-05-12,bharti,712.6,722.75,702,705.75,226086
2022-05-11,bharti,720,735.1,717.2,722.9,217527
2022-05-10,bharti,706.5,728.4,706.5,719.6,103773
2022-05-09,bharti,700,720,700,711.75,189798
2022-05-06,bharti,715,723.9,707.75,710.4,348653
2022-05-05,bharti,722.1,733,714.3,717.55,175716
2022-05-04,bharti,739.1,739.1,716.8,722.6,2872984
2022-05-02,bharti,730.55,742.7,730.55,741.45,202559
2022-04-29,bharti,750,760.8,735.75,739.7,358326
2022-04-28,bharti,751.8,754,744.8,747.25,100891
2022-04-27,bharti,751.5,761.35,746.25,753.55,75196
2022-04-26,bharti,744.5,758.85,739.25,756.2,217929
2022-04-25,bharti,732,743.25,730,739.45,271553
2022-04-22,bharti,734.75,740.75,729.4,738.75,64386
2022-04-21,bharti,746,746,730,734.75,261922
2022-04-20,bharti,727.2,744.3,724.5,739.4,155124
2022-04-19,bharti,735.3,737.65,717,722.55,480868
2022-04-18,bharti,729.1,740.1,723.5,729.8,226124
2022-04-13,bharti,743,756.5,738,740.7,599288
2022-04-12,bharti,762.4,762.4,740,741.6,77478
2022-04-11,bharti,755.35,765.15,755.35,757.9,486689
2022-04-08,bharti,764.2,768,757.75,762.15,112355
2022-04-07,bharti,772,777.45,759.65,762.6,55014
2022-04-06,bharti,765,780.35,763.05,775.2,118489
2022-04-05,bharti,771,773.65,761,766.25,64906
2022-04-04,bharti,758.6,774.85,756,767.65,255057
2022-04-01,bharti,757.15,766.6,749.1,758.6,194022
2022-03-31,bharti,752,759.05,739.6,755.4,128187
2022-03-30,bharti,760,769.75,744.65,749.4,185301
2022-03-29,bharti,740.2,762.85,737.05,754.55,601282
2022-03-28,bharti,714.95,737.5,710.45,733.35,237001
2022-03-25,bharti,710.5,714.4,705.8,709.25,163661
2022-03-24,bharti,699,708.95,697.35,706.25,181559
2022-03-23,bharti,719.9,719.9,703,705.05,162570
2022-03-22,bharti,707.2,720.9,706.1,719.25,86945
2022-03-21,bharti,702,723,702,709.35,228917
2022-03-17,bharti,719,727.7,714.7,722.8,228481
2022-03-16,bharti,706,715,705,712.6,286825
2022-03-15,bharti,700.8,709.45,695.4,703.35,350151
2022-03-14,bharti,688.4,704.85,688.4,700.55,128884
2022-03-11,bharti,696.05,702.2,691.6,694.8,68244
2022-03-10,bharti,705.3,707.3,690.75,697.55,101287
2022-03-09,bharti,683,698.1,674.45,691.45,225062
2022-03-08,bharti,675.4,686.8,667.7,682.9,269174
2022-03-07,bharti,643,679,638.9,675.6,389014
2022-03-04,bharti,667.95,667.95,650,653,148028
2022-03-03,bharti,676.1,679.8,668.85,671.8,142360
2022-03-02,bharti,686.25,686.25,666.05,673.9,274602
2022-02-28,bharti,683,689.8,666.9,686.25,177372
2022-02-25,bharti,680,695,677.8,688.45,152744
2022-02-24,bharti,689,689,645.6,670.75,636847
2022-02-23,bharti,698,708.9,698,704.25,203509
2022-02-22,bharti,695,701.6,687.7,699.9,286312
2022-02-21,bharti,706,716.25,702.75,709.8,262041
2022-02-18,bharti,708.15,719.4,708.15,712.7,107842
2022-02-17,bharti,726,727,715.1,717.15,157848
2022-02-16,bharti,715.2,728,707.7,721.4,203539
2022-02-15,bharti,697,713.15,687.75,711.35,171221
2022-02-14,bharti,708.5,708.5,685,688.05,279171
2022-02-11,bharti,718,725.2,710.95,714.45,129216
2022-02-10,bharti,725,726.8,708.65,723.8,198926
2022-02-09,bharti,709.1,726,702.15,719.6,458768
2022-02-08,bharti,718.2,718.2,701,708.85,241296
2022-02-07,bharti,719.4,719.6,699.55,706.5,190773
2022-02-04,bharti,721.6,723.15,716.55,720.2,94805
2022-02-03,bharti,728,728.8,718.55,721.6,74344
2022-02-02,bharti,734,734,720.8,724.95,82530
2022-02-01,bharti,734,735,718.3,722.75,278852
2022-01-31,bharti,730.25,734.8,719.4,729.4,377920
2022-01-28,bharti,718,752.8,702,715.9,579603
2022-01-27,bharti,706,715.95,701.6,707.2,250227
2022-01-25,bharti,685,720.15,684,711.9,272728
2022-01-24,bharti,694,707.15,677.5,689.6,224258
2022-01-21,bharti,712.8,713.7,689.25,695.05,133044
2022-01-20,bharti,702.6,718.9,702.6,715.3,270601
2022-01-19,bharti,725.5,725.5,701.75,704.05,80830
2022-01-18,bharti,728.55,730.45,712.9,714.1,83888
2022-01-17,bharti,721,734.75,720,728.55,197500
2022-01-14,bharti,732,732,718.75,720.7,73752
2022-01-13,bharti,728.55,735.55,727.6,731.55,99339
2022-01-12,bharti,709,732.35,704.3,730.05,557454
2022-01-11,bharti,704,709.45,694.8,703.6,211875
2022-01-10,bharti,704.75,711.15,703.5,704.7,170989
2022-01-07,bharti,715,715.35,701.75,704.75,119795
2022-01-06,bharti,701.1,720.5,700.2,710.25,653091
2022-01-05,bharti,702.9,702.9,691.85,700.05,85748
2022-01-04,bharti,693,703.05,690.7,697.2,120389
2022-01-03,bharti,684.15,692.5,683.25,691.2,131858
