Date,Script_name,Open Price,High Price,Low Price,Close Price,No.of Shares
2022-10-17,reliance,2354.7,2413.75,2343.6,2410,312009
2022-10-14,reliance,2412,2416.05,2368.35,2371,169418
2022-10-13,reliance,2375.8,2394.2,2361,2383.85,89649
2022-10-12,reliance,2354.95,2380.8,2345.55,2375.05,92000
2022-10-11,reliance,2411.25,2412,2351,2357.25,3962521
2022-10-10,reliance,2409.05,2417.7,2388,2405.75,138925
2022-10-07,reliance,2418,2443.9,2413.85,2433.25,151735
2022-10-06,reliance,2436,2450,2418.4,2422.65,90481
2022-10-04,reliance,2398.45,2417.9,2390.35,2413.05,155355
2022-10-03,reliance,2397,2416.95,2363.5,2374.3,228998
2022-09-30,reliance,2318,2401.15,2315,2377.7,251390
2022-09-29,reliance,2358,2367.75,2313.55,2325.3,191249
2022-09-28,reliance,2365.1,2378.4,2327.85,2332.1,249075
2022-09-27,reliance,2395,2425.75,2360.15,2395.4,420283
2022-09-26,reliance,2404,2417.65,2375.5,2377.5,130939
2022-09-23,reliance,2485.5,2495.05,2435.2,2439.35,110625
2022-09-22,reliance,2482.9,2502.65,2472.55,2485.9,88397
2022-09-21,reliance,2501.85,2534,2495.7,2509.25,74857
2022-09-20,reliance,2525,2537.2,2495.85,2502.05,93423
2022-09-19,reliance,2499.2,2521.9,2481.6,2502.35,2963131
2022-09-16,reliance,2549,2553.6,2491.25,2499.3,210585
2022-09-15,reliance,2586,2602.3,2557,2561.75,180396
2022-09-14,reliance,2565,2609.5,2565,2587.8,257288
2022-09-13,reliance,2615,2628.55,2601,2620.15,223055
2022-09-12,reliance,2573.7,2611.4,2572,2597.6,152127
2022-09-09,reliance,2606.55,2606.85,2565,2568.6,165838
2022-09-08,reliance,2590,2597,2571,2585.2,164380
2022-09-07,reliance,2579.7,2594.5,2569.05,2581.15,191624
2022-09-06,reliance,2569.6,2605.5,2569.6,2595.4,376714
2022-09-05,reliance,2530,2581,2530,2570.25,119294
2022-09-02,reliance,2565,2574,2525,2529.8,266857
2022-09-01,reliance,2589.1,2605.95,2552,2560.2,1149213
2022-08-30,reliance,2621.7,2645.95,2577.15,2639.1,297293
2022-08-29,reliance,2570,2653.3,2570,2596.8,504166
2022-08-26,reliance,2638,2647.9,2608,2618.75,185236
2022-08-25,reliance,2651,2662.3,2622,2630.5,86635
2022-08-24,reliance,2637.4,2668.5,2636,2639.05,150278
2022-08-23,reliance,2586,2652,2586,2647.5,225535
2022-08-22,reliance,2616,2630.55,2586.2,2606.7,167523
2022-08-19,reliance,2654.05,2661,2605.3,2613.6,136003
2022-08-18,reliance,2663.45,2668.5,2640.25,2660.65,181482
2022-08-17,reliance,2660.55,2677.6,2656,2664.45,114212
2022-08-16,reliance,2649.8,2656.6,2627.8,2650.55,75427
2022-08-12,reliance,2586.25,2641,2582.1,2632.65,222555
2022-08-11,reliance,2600,2615,2580.8,2590.2,99044
2022-08-10,reliance,2572,2589.95,2558,2581.95,111725
2022-08-08,reliance,2535,2583.5,2531.65,2566.8,187347
2022-08-05,reliance,2577,2578,2527.5,2533.95,133584
2022-08-04,reliance,2616,2617.65,2535,2571.4,190556
2022-08-03,reliance,2597.45,2610,2567.55,2605.8,159491
2022-08-02,reliance,2572.8,2606.5,2560.55,2583.1,283788
2022-08-01,reliance,2513,2587,2507.95,2575.1,4318904
2022-07-29,reliance,2470,2517,2463.5,2508.75,435531
2022-07-28,reliance,2435,2467,2421.1,2457.25,302611
2022-07-27,reliance,2419.4,2427,2402,2419.25,182221
2022-07-26,reliance,2423.8,2444.05,2412.45,2420.5,261141
2022-07-25,reliance,2469,2469,2403.95,2420.15,465538
2022-07-22,reliance,2500,2516.8,2495,2502.9,394782
2022-07-21,reliance,2498,2498.65,2468,2487.4,236686
2022-07-20,reliance,2535,2545.05,2485.55,2501.4,536736
2022-07-19,reliance,2411,2447,2400.75,2441.2,354911
2022-07-18,reliance,2420.05,2425,2393.5,2422.15,4311256
2022-07-15,reliance,2420,2420,2383.6,2401.55,105343
2022-07-14,reliance,2389.7,2434.5,2377.5,2396.95,249673
2022-07-13,reliance,2429,2433.95,2373,2377.3,185355
2022-07-12,reliance,2411,2439,2403.9,2420.15,203047
2022-07-11,reliance,2380,2428,2370.3,2423.2,805038
2022-07-08,reliance,2414.9,2415.85,2383,2391.5,222410
2022-07-07,reliance,2424.8,2433.9,2375.05,2387.65,452454
2022-07-06,reliance,2425.05,2441.15,2387.4,2411.95,259341
2022-07-05,reliance,2424.95,2464.65,2417.6,2433.2,435731
2022-07-04,reliance,2388.8,2441.85,2367,2413.95,893090
2022-07-01,reliance,2580,2591.65,2365,2408.95,1078836
2022-06-30,reliance,2576,2615.8,2567.3,2594.05,209154
2022-06-29,reliance,2504.35,2596.85,2501,2579.05,305035
2022-06-28,reliance,2482.15,2535,2482.15,2529,127683
2022-06-27,reliance,2549,2549,2482,2491.95,180405
2022-06-24,reliance,2490,2510.95,2468.25,2500.75,182130
2022-06-23,reliance,2520,2524.9,2446,2464.6,282095
2022-06-22,reliance,2563,2563,2501,2505.2,191652
2022-06-21,reliance,2552.4,2592.7,2529,2584.55,135235
2022-06-20,reliance,2607,2618.1,2521.1,2542.8,141291
2022-06-17,reliance,2532,2624.45,2532,2589.3,259291
2022-06-16,reliance,2622,2658.6,2554.95,2559.2,282255
2022-06-15,reliance,2610,2637.4,2585.1,2596.3,163116
2022-06-14,reliance,2653,2670.15,2613.85,2627.35,152984
2022-06-13,reliance,2653.8,2673.3,2616.4,2662.8,187994
2022-06-10,reliance,2774.35,2790.05,2701.6,2714,246751
2022-06-09,reliance,2709,2802,2709,2798.6,298046
2022-06-08,reliance,2775.2,2782.1,2715.6,2724.3,186942
2022-06-07,reliance,2764,2791,2754,2772.5,154819
2022-06-06,reliance,2780.6,2813.75,2751.55,2766.9,275733
2022-06-03,reliance,2746.95,2816.35,2740,2779.5,636698
2022-06-02,reliance,2645,2732,2635.65,2724.5,299786
2022-06-01,reliance,2632.35,2654.95,2616.1,2632.2,147783
2022-05-31,reliance,2646,2678.75,2615.85,2633.9,590084
2022-05-30,reliance,2619.8,2673,2594.85,2663.75,263592
2022-05-27,reliance,2596.95,2605.55,2539.35,2575.2,199303
2022-05-26,reliance,2618,2633.9,2547.7,2587.45,183889
2022-05-25,reliance,2632.35,2655.8,2601.85,2611.15,248030
2022-05-24,reliance,2624,2637.8,2598,2616,147965
2022-05-23,reliance,2630,2653.75,2592.95,2605.95,278346
2022-05-20,reliance,2515,2643,2503,2622.15,277207
2022-05-19,reliance,2470,2511,2466.45,2479.2,728658
2022-05-18,reliance,2539,2570,2508.3,2538.8,276653
2022-05-17,reliance,2443,2540.4,2435,2530.7,336675
2022-05-16,reliance,2432,2480.75,2416.45,2427.4,207222
2022-05-13,reliance,2432,2478,2416.05,2428.05,290185
2022-05-12,reliance,2419,2440,2370,2400.95,375949
2022-05-11,reliance,2478.7,2485.05,2421.9,2449.75,269992
2022-05-10,reliance,2499,2525.25,2459,2473.25,228368
2022-05-09,reliance,2575,2597.2,2507.1,2517.15,394528
2022-05-06,reliance,2640.75,2659.55,2594.6,2621.15,249708
2022-05-05,reliance,2721,2729.65,2632,2640.75,355466
2022-05-04,reliance,2785,2785.15,2675.8,2693.15,3251053
2022-05-02,reliance,2755.5,2805,2755.5,2780.55,244590
2022-04-29,reliance,2855,2855,2777.55,2790.8,202927
2022-04-28,reliance,2815,2850,2786.3,2819.2,264655
2022-04-27,reliance,2759.7,2827.1,2757,2777.9,389360
2022-04-26,reliance,2708,2795.65,2708,2775.7,240951
2022-04-25,reliance,2739.45,2758.35,2664.4,2694.85,208296
2022-04-22,reliance,2765.05,2800.65,2743.85,2758.45,314673
2022-04-21,reliance,2759,2788.8,2733.65,2782.15,280821
2022-04-20,reliance,2655.75,2733.65,2650,2718.4,458162
2022-04-19,reliance,2554.1,2667,2551.1,2638.45,545067
2022-04-18,reliance,2530.25,2559.05,2522.6,2544.15,215288
2022-04-13,reliance,2577,2592.9,2546,2552.45,156923
2022-04-12,reliance,2588,2602.4,2556,2560.15,213157
2022-04-11,reliance,2599,2638,2582.65,2609.8,209888
2022-04-08,reliance,2563,2625,2562.6,2616.75,265594
2022-04-07,reliance,2599.5,2603.25,2567,2571.75,244738
2022-04-06,reliance,2588.65,2634.05,2588.6,2619.35,146948
2022-04-05,reliance,2655,2668.85,2621.15,2625.4,112402
2022-04-04,reliance,2657,2675,2644.25,2663.05,137978
2022-04-01,reliance,2641.3,2664.8,2622.5,2654.45,84826
2022-03-31,reliance,2673,2673,2628.9,2633.95,188426
2022-03-30,reliance,2637.9,2688,2617.75,2673,154596
2022-03-29,reliance,2637,2637,2608.2,2622.15,128043
2022-03-28,reliance,2611,2629.15,2586.9,2621.65,342191
2022-03-25,reliance,2577.9,2615,2577,2596.7,195991
2022-03-24,reliance,2515,2583.5,2512.05,2577.9,327758
2022-03-23,reliance,2526.2,2565,2526.2,2539.7,200221
2022-03-22,reliance,2463.7,2535,2454,2531.1,304284
2022-03-21,reliance,2452,2483.7,2442,2467.15,207916
2022-03-17,reliance,2438,2496.9,2401.15,2479.65,286443
2022-03-16,reliance,2387.95,2407.05,2376.45,2403.25,276207
2022-03-15,reliance,2431.8,2431.8,2341.2,2363.45,412984
2022-03-14,reliance,2394,2424.35,2375,2418.55,316063
2022-03-11,reliance,2372,2410.4,2372,2398.5,292287
2022-03-10,reliance,2415,2415,2360,2393.25,481296
2022-03-09,reliance,2249,2366.7,2233.95,2353.8,430958
2022-03-08,reliance,2205,2245.8,2181,2236.7,665930
2022-03-07,reliance,2296,2311.85,2222.65,2239.95,577322
2022-03-04,reliance,2355,2364.7,2320.55,2325.35,206310
2022-03-03,reliance,2411,2414.45,2370,2378.2,232245
2022-03-02,reliance,2349.1,2400.45,2331.1,2398.4,298733
2022-02-28,reliance,2247.05,2367,2245,2359.1,361763
2022-02-25,reliance,2275.6,2307,2275.6,2283.95,234948
2022-02-24,reliance,2314,2339.85,2242.5,2255.6,550535
2022-02-23,reliance,2398.6,2406.05,2367.9,2373.8,187278
2022-02-22,reliance,2352,2395.7,2346.75,2388.2,388107
2022-02-21,reliance,2414.9,2436.8,2385,2400.15,248274
2022-02-18,reliance,2435,2456,2421,2424.15,242341
2022-02-17,reliance,2418,2454.4,2410.5,2444.9,248666
2022-02-16,reliance,2427.55,2432.05,2396,2412.35,241833
2022-02-15,reliance,2352,2424,2335.85,2417.35,389799
2022-02-14,reliance,2300,2354,2300,2338.8,310248
2022-02-11,reliance,2374,2384,2343.95,2376.85,192243
2022-02-10,reliance,2397.4,2397.4,2365,2379,226054
2022-02-09,reliance,2367.1,2386.6,2358.6,2383.95,1356126
2022-02-08,reliance,2333,2359.95,2310,2355.6,1601702
2022-02-07,reliance,2338,2356.8,2305.05,2317.65,1643527
2022-02-04,reliance,2349,2349.55,2322,2331.8,330454
2022-02-03,reliance,2384,2401.55,2348,2352.7,136394
2022-02-02,reliance,2410.4,2410.4,2376,2383.5,337670
2022-02-01,reliance,2410,2420.55,2347.65,2380.45,2496945
2022-01-31,reliance,2355,2406.35,2355,2386.35,185589
2022-01-28,reliance,2365,2372.4,2329,2335.4,2787192
2022-01-27,reliance,2345,2355.55,2312,2338.25,385697
2022-01-25,reliance,2364.7,2388.6,2305.05,2373.7,439517
2022-01-24,reliance,2478.1,2504.1,2352.7,2377.55,579337
2022-01-21,reliance,2450.15,2501.95,2450.15,2478.1,320142
